id	slug	field	words	chars	spouses_on_card	char_cap_on_card	clamps_in_ui	over_8_words	current_blurb	PROPOSED_max8
TD0074	talcott-stanley-1918	bio.bio_blurb	7	56	3	48	YES	no	Wadsworth Atheneum president; New Britain museum trustee	Wadsworth Atheneum president
X03448	lyman-beecher-1775	bio.bio_blurb	7	54	3	48	YES	no	Revivalist preacher; father of Isabella Beecher Hooker	Revivalist preacher
HD3130	john-morgan-1930	notable.notable_blurb	7	51	5	48	YES	no	Olympic sailing gold medalist and investment banker	Olympic sailing gold medalist and investment banker
HD0264	grindall-reynolds-1755	bio.bio_blurb	7	50	3	48	YES	no	Revolutionary lieutenant; one of seven “real sons”	Revolutionary lieutenant
HD6470	samuel-newton-1792	bio.bio_blurb	7	50	3	48	YES	no	Osage and Cherokee missionary; San Antonio pioneer	Osage and Cherokee missionary
H00348	james-hooker-1742	bio.bio_blurb	7	49	3	48	YES	no	Windsor merchant; principal of Hooker and Chaffee	Windsor merchant
X00010	benjamin-fenn-1612	notable.notable_blurb	6	57	2	54	YES	no	Milford founder; Connecticut Assistant Governor 1665-1672	Milford founder
H00824	julia-marks-1793	bio.bio_blurb	6	56	2	54	YES	no	Co-principal, South Carolina Female Collegiate Institute	Co-principal, South Carolina Female Collegiate Institute
H00515	bryan-hooker-1764	notable.notable_blurb	6	55	2	54	YES	no	Woolen pioneer; 1818 Constitutional Convention delegate	Woolen pioneer
X01043	orrin-lee-1760	bio.bio_blurb	6	55	2	54	YES	no	Revolutionary drummer, blacksmith, and state legislator	Revolutionary drummer, blacksmith
I02144	janet-annenberg-1904	notable.notable_blurb	6	55	3	48	YES	no	Smithsonian gem benefactor and Annenberg philanthropist	Smithsonian gem benefactor and Annenberg philanthropist
HD1231	laurens-hamilton-1900	bio.bio_blurb	6	51	3	48	YES	no	Cavalry officer; Alexander Hamilton legacy advocate	Cavalry officer
HD3350	benjamin-adams-ii-1898	bio.bio_blurb	6	50	4	48	YES	no	Hill and Barlow partner; adult-education president	Hill and Barlow partner
HD7741	alfred-vanderbilt-ii-1912	bio.bio_blurb	6	49	3	48	YES	no	Thoroughbred owner, breeder, and racing executive	Thoroughbred owner, breeder
HD7741	alfred-vanderbilt-ii-1912	notable.notable_blurb	6	49	3	48	YES	no	Thoroughbred owner, breeder, and racing executive	Thoroughbred owner, breeder
HD0869	hart-leavitt-1809	notable.notable_blurb	5	54	3	48	YES	no	Underground Railroad merchant-legislator of Charlemont	Underground Railroad merchant-legislator of Charlemont
HD6116	theodora-roosevelt-1919	bio.bio_blurb	5	54	3	48	YES	no	Roosevelt granddaughter; lesbian pulp-fiction novelist	Roosevelt granddaughter
HD6116	theodora-roosevelt-1919	notable.notable_blurb	5	54	3	48	YES	no	Roosevelt granddaughter; lesbian pulp-fiction novelist	Roosevelt granddaughter
HD0868	roger-leavitt-1805	notable.notable_blurb	5	53	4	48	YES	no	Underground Railroad conductor; Massachusetts senator	Underground Railroad conductor
I02144	janet-annenberg-1904	bio.bio_blurb	5	50	3	48	YES	no	American philanthropist and Smithsonian benefactor	American philanthropist and Smithsonian benefactor
