id,field,current_structured,value_in_research_notes,category,snippet
HD0818,death,1898-?-?,1898-03-26,clean,"; d. Mar 26, 1898 G"
HD0819,birth,1859-?-?,1859-07-24,clean,"b. Jul 24, 1859;"
HD0819,death,1860-?-?,1860-09-13,clean,"; d. Sep 13, 1860 a"
HD0820,birth,1860-?-?,1860-10-03,clean,"b. Oct 3, 1860 C"
HD0820,death,1931-?-?,1931-02-08,clean,"; d. Feb 8, 1931 G"
HD0821,birth,1862-?-?,1862-03-05,clean,"b. Mar 5, 1862 L"
HD0821,death,1933-?-?,1933-11-24,clean,"; d. Nov 24, 1933 L"
HD0822,birth,1865-?-?,1865-05-04,clean,"b. May 4, 1865 I"
HD0822,death,1883-?-?,1883-04-26,clean,"; d. Apr 26, 1883 a"
HD0825,birth,1876-?-?,1876-12-30,clean,"b. Dec 30, 1876 I"
HD0825,death,1964-?-?,1964-02-19,clean,"; d. Feb 19, 1964 W"
H00651,death,1797-?-?,1797-12-19,clean,"; d. Dec 19, 1797 R"
H00654,death,1771-?-?,1771-05-16,clean,"; d. May 16, 1771 M"
H00656,death,1775-?-?,1775-08-10,clean,"; d. Aug 10, 1775 M"
HD0827,death,1885-?-?,1885-02-01,clean,"; d. Feb 1, 1885 G"
HD0837,birth,1839-?-?,1839-09-10,clean,"b. Sep 10, 1839 A"
HD0837,death,1875-?-?,1875-09-08,clean,"; d. Sep 8, 1875 P"
H00661,death,1798-?-?,1798-05-24,clean,"; d. May 24, 1798 N"
H00666,death,1853-?-?,1853-08-12,clean,"; d. Aug 12, 1853 C"
HD0842,death,1911-?-?,1911-08-08,clean,"; d. Aug 8, 1911 O"
HD0844,death,1924-?-?,1924-07-24,clean,"; d. Jul 24, 1924 A"
H00669,death,1775-?-?,1775-05-14,clean,"; d. May 14, 1775 a"
H00671,death,1773-?-?,1773-03-05,clean,"; d. Mar 5, 1773 —"
H00672,death,1791-?-?,1791-09-14,clean,"; d. Sep 14, 1791 a"
H00676,death,1784-?-?,1784-11-09,clean,"; d. Nov 9, 1784 a"
H00680,death,1793-?-?,1793-03-08,clean,"; d. Mar 8, 1793 —"
X00151,death,1812-?-?,1812-02-26,clean,"; d. Feb 26, 1812 F"
HD0856,birth,1799-?-?,1799-12-06,clean,"b. Dec 6, 1799 G"
HD0856,death,1867-?-?,1867-11-26,clean,"; d. Nov 26, 1867 N"
HD0857,birth,1762-?-?,1762-09-26,clean,"b. Sep 26, 1762 W"
HD0857,death,1798-?-?,1798-01-11,clean,"; d. Jan 11, 1798 a"
HD0858,birth,1765-?-?,1765-07-20,clean,"b. Jul 20, 1765;"
HD0858,death,1836-?-?,1836-05-25,clean,"; d. May 25, 1836."
HD0859,birth,1767-?-?,1767-04-17,clean,"b. Apr 17, 1767 C"
HD0859,death,1809-?-?,1809-04-02,clean,"; d. Apr 2, 1809."
HD0860,birth,1769-?-?,1769-02-15,clean,"b. Feb 15, 1769 H"
HD0860,death,1840-?-?,1840-12-02,clean,"; d. Dec 2, 1840."
HD0861,birth,1772-?-?,1772-12-21,clean,"b. Dec 21, 1772;"
HD0861,death,1807-?-?,1807-08-27,clean,"; d. Aug 27, 1807."
HD0862,birth,1775-?-?,1775-01-02,clean,"b. Jan 2, 1775 H"
HD0863,birth,1776-?-?,1776-10-02,clean,"b. Oct 2, 1776;"
HD0863,death,1820-?-?,1820-11-17,clean,"; d. Nov 17, 1820."
HD0864,birth,1779-?-?,1779-04-05,clean,"b. Apr 5, 1779;"
HD0865,birth,1781-?-?,1781-10-12,clean,"b. Oct 12, 1781;"
HD0865,death,1837-?-?,1837-05-24,clean,"; d. May 24, 1837."
HD0866,birth,1785-?-?,1785-01-03,clean,"b. Jan 3, 1785;"
HD0866,death,1842-?-?,1842-10-28,clean,"; d. Oct 28, 1842."
HD0871,birth,1799-?-?,1799-07-23,clean,"b. Jul 23, 1799;"
HD0871,death,1800-?-?,1800-08-16,clean,"; d. Aug 16, 1800 —"
HD0872,birth,1800-?-?,1800-10-21,clean,"b. Oct 21, 1800 C"
HD0872,death,1877-?-?,1877-10-07,clean,"; d. Oct 7, 1877 P"
HD0873,birth,1803-?-?,1803-09-14,clean,"b. Sep 14, 1803;"
HD0873,death,1828-?-?,1828-12-28,clean,"; d. Dec 28, 1828 a"
HD0875,birth,1807-?-?,1807-02-12,clean,"b. Feb 12, 1807 C"
HD0875,death,1885-?-?,1885-07-28,clean,"; d. Jul 28, 1885 C"
HD0876,birth,1808-?-?,1808-12-20,clean,"b. Dec 20, 1808 C"
HD0876,death,1888-?-?,1888-09-29,clean,"; d. Sep 29, 1888 C"
HD0880,birth,1836-?-?,1836-10-27,clean,"b. Oct 27, 1836 L"
HD0880,death,1916-?-?,1916-03-11,clean,"; d. Mar 11, 1916 C"
HD0881,birth,1838-?-?,1838-06-07,clean,"b. Jun 7, 1838 L"
HD0881,death,1911-?-?,1911-03-04,clean,"; d. Mar 4, 1911 B"
HD0886,birth,1868-?-?,1868-07-04,clean,"b. Jul 4, 1868 L"
HD0886,death,1921-?-?,1921-12-12,clean,"; d. Dec 12, 1921 C"
HD0888,birth,1875-?-?,1875-09-02,clean,"b. Sep 2, 1875 C"
HD0888,death,1947-?-?,1947-12-06,clean,"; d. Dec 6, 1947 N"
HD0890,birth,1882-?-?,1882-06-15,clean,"b. Jun 15, 1882 C"
HD0890,death,1972-?-?,1972-07-07,clean,"; d. Jul 7, 1972 J"
HD0893,birth,1911-?-?,1911-02-19,clean,"b. Feb 19, 1911 D"
HD0893,death,2001-?-?,2001-02-12,clean,"; d. Feb 12, 2001 W"
HD0895,birth,1918-?-?,1918-04-11,clean,"b. Apr 11, 1918 C"
HD0895,death,1998-?-?,1998-10-18,clean,"; d. Oct 18, 1998 O"
X00156,birth,1762-?-?,1762-04-21,clean,"b. Apr 21, 1762 N"
X00156,death,1833-?-?,1833-11-07,clean,"; d. Nov 7, 1833 G"
H01404,birth,1799-?-?,1799-09-14,clean,"b. Sep 14, 1799 S"
H01404,death,1824-?-?,1824-07-17,clean,"; d. Jul 17, 1824 a"
H01405,birth,1801-?-?,1801-07-15,clean,"b. Jul 15, 1801;"
H01405,death,1802-?-?,1802-04-24,clean,"; d. Apr 24, 1802 —"
H01406,birth,1804-?-?,1804-02-11,clean,"b. Feb 11, 1804;"
H01406,death,1804-?-?,1804-10-08,clean,"; d. Oct 8, 1804 —"
X00163,birth,1846-?-?,1846-07-31,clean,"b. Jul 31, 1846 B"
X00163,death,1922-?-?,1922-04-24,clean,"; d. Apr 24, 1922 B"
X00164,death,1831-?-?,1831-02-19,clean,"; d. Feb 19, 1831 W"
X00165,birth,1822-?-?,1822-02-12,clean,"b. Feb 12, 1822 V"
X00165,death,1891-?-?,1891-11-11,clean,"; d. Nov 11, 1891 V"
X00166,birth,1869-?-?,1869-08-31,clean,"b. Aug 31, 1869;"
X00166,death,1945-?-?,1945-08-10,clean,"; d. Aug 10, 1945."
X00167,birth,1891-?-?,1891-12-18,clean,"b. Dec 18, 1891 W"
X00167,death,1962-?-?,1962-08-24,clean,"; d. Aug 24, 1962 C"
X00169,birth,1745-?-?,1745-02-20,clean,"b. Feb 20, 1745 H"
X00173,birth,1790-?-?,1790-05-08,clean,"b. May 8, 1790 B"
X00173,death,1870-?-?,1870-07-01,clean,"; d. Jul 1, 1870."
HD0918,birth,1815-?-?,1815-07-22,clean,"b. Jul 22, 1815 V"
HD0918,death,1861-?-?,1861-02-26,clean,"; d. Feb 26, 1861 G"
HD0919,birth,1817-?-?,1817-06-15,clean,"b. Jun 15, 1817 V"
HD0919,death,1892-?-?,1892-07-08,clean,"; d. Jul 8, 1892 S"
HD0920,birth,1817-?-?,1817-06-16,clean,"b. Jun 16, 1817 C"
HD0920,death,1889-?-?,1889-12-19,clean,"; d. Dec 19, 1889 O"
X00180,death,1823-?-?,1823-07-13,clean,"; d. Jul 13, 1823 M"
X00192,birth,1769-?-?,1769-05-01,clean,"b. May 1, 1769 C"
X00192,death,1842-?-?,1842-11-24,clean,"; d. Nov 24, 1842 M"
HD0935,birth,1795-?-?,1795-09-24,clean,"b. Sep 24, 1795 M"
HD0935,death,1856-?-?,1856-11-24,clean,"; d. Nov 24, 1856 M"
X00193,birth,1797-?-?,1797-07-18,clean,"b. Jul 18, 1797 W"
X00193,death,1879-?-?,1879-12-19,clean,"; d. Dec 19, 1879 M"
X00194,birth,1804-?-?,1804-01-29,clean,"b. Jan 29, 1804 S"
X00194,death,1877-?-?,1877-09-25,clean,"; d. Sep 25, 1877 M"
X00204,birth,1729-?-?,1729-06-09,clean,"b. Jun 9, 1729 W"
HD0950,birth,1817-?-?,1817-09-14,clean,"b. Sep 14, 1817 B"
HD0950,death,1914-?-?,1914-05-24,clean,"; d. May 24, 1914 M"
X00210,birth,1733-?-?,1733-09-26,clean,"b. Sep 26, 1733 M"
X00210,death,1781-?-?,1781-09-12,clean,"; d. Sep 12, 1781 M"
HD0957,birth,1772-?-?,1772-10-27,clean,"b. Oct 27, 1772."
HD0958,birth,1774-?-?,1774-04-13,clean,"b. Apr 13, 1774."
HD0959,birth,1776-?-?,1776-01-02,clean,"b. Jan 2, 1776."
HD0960,birth,1778-?-?,1778-06-21,clean,"b. Jun 21, 1778."
HD0961,birth,1780-?-?,1780-06-29,clean,"b. Jun 29, 1780."
X00213,birth,1755-?-?,1755-05-02,clean,"b. May 2, 1755 M"
X00213,death,1840-?-?,1840-08-09,clean,"; d. Aug 9, 1840 K"
X00214,birth,1764-?-?,1764-05-07,clean,"b. May 7, 1764 M"
X00214,death,1823-?-?,1823-06-28,clean,"; d. Jun 28, 1823 F"
X00215,birth,1703-?-?,1703-11-05,clean,"b. Nov 5, 1703 N"
X00215,death,1756-?-?,1756-09-29,clean,"; d. Sep 29, 1756 N"
X00217,birth,1753-?-?,1753-11-13,clean,"b. Nov 13, 1753 N"
X00217,death,1850-?-?,1850-04-15,clean,"; d. Apr 15, 1850 N"
X00219,birth,1780-?-?,1780-10-22,clean,"b. Oct 22, 1780 N"
X00219,death,1808-?-?,1808-04-14,clean,"; d. Apr 14, 1808 N"
X00220,birth,1784-?-?,1784-05-26,clean,"b. May 26, 1784 G"
X00220,death,1865-?-?,1865-05-16,clean,"; d. May 16, 1865 N"
X00221,birth,1763-?-?,1763-01-26,clean,"b. Jan 26, 1763 W"
X00221,death,1791-?-?,1791-02-26,clean,"; d. Feb 26, 1791 K"
X00223,birth,1765-?-?,1765-05-17,clean,"b. May 17, 1765;"
X00223,death,1795-?-?,1795-05-17,clean,"; d. May 17, 1795 N"
X00233,birth,1768-?-?,1768-10-11,clean,"b. Oct 11, 1768;"
X00233,death,1847-?-?,1847-11-26,clean,"; d. Nov 26, 1847."
X00239,death,1793-?-?,1793-11-14,clean,"; d. Nov 14, 1793 K"
X00244,birth,1715-?-?,1715-03-03,clean,"b. Mar 3, 1715 K"
X00244,death,1802-?-?,1802-04-06,clean,"; d. Apr 6, 1802 K"
X00251,death,1840-?-?,1840-07-07,clean,". d. Jul 7, 1840."
U00051,birth,1693-?-?,1693-03-30,clean,"b. Mar 30, 1693 W"
U00051,death,1774-?-?,1774-04-04,clean,"; d. Apr 4, 1774 W"
X00258,birth,1748-?-?,1748-02-05,clean,"b. Feb 5, 1748 S"
H00689,birth,1779-?-?,1779-06-14,clean,"b. Jun 14, 1779 S"
H00690,birth,1784-?-?,1784-04-27,clean,"b. Apr 27, 1784 S"
H00691,birth,1784-?-?,1784-03-26,clean,"b. Mar 26, 1784 S"
H00691,death,1785-?-?,1785-03-26,clean,"; d. Mar 26, 1785 —"
H00692,birth,1785-?-?,1785-12-04,clean,"b. Dec 4, 1785 S"
H00693,birth,1791-?-?,1791-03-28,clean,"b. Mar 28, 1791 S"
H01147,death,1869-?-?,1869-06-06,clean,"; d. Jun 6, 1869 A"
X00262,death,1767-?-?,1767-08-16,clean,"; d. Aug 16, 1767 a"
X00269,birth,1791-?-?,1791-05-01,clean,"b. May 1, 1791;"
X00269,death,1872-?-?,1872-04-21,clean,"; d. Apr 21, 1872 a"
HD0985,death,1810-?-?,1810-05-01,clean,"; d. May 1, 1810."
HD0986,birth,1811-?-?,1811-05-26,clean,"b. May 26, 1811."
HD0988,birth,1813-?-?,1813-08-07,clean,"b. Aug 7, 1813."
HD0989,birth,1816-?-?,1816-04-30,clean,"b. Apr 30, 1816;"
HD0989,death,1836-?-?,1836-12-04,clean,"; d. Dec 4, 1836."
HD0990,birth,1818-?-?,1818-09-28,clean,"b. Sep 28, 1818."
HD0991,birth,1821-?-?,1821-05-03,clean,"b. May 3, 1821."
HD0992,birth,1824-?-?,1824-09-02,clean,"b. Sep 2, 1824."
HD0993,birth,1827-?-?,1827-02-14,clean,"b. Feb 14, 1827 P"
HD0993,death,1896-?-?,1896-05-11,clean,"; d. May 11, 1896."
HD0994,birth,1827-?-?,1827-02-14,clean,"b. Feb 14, 1827 ("
HD0995,birth,1829-?-?,1829-07-26,clean,"b. Jul 26, 1829 P"
X00271,birth,1746-?-?,1746-10-05,clean,"b. Oct 5, 1746 E"
X00271,death,1811-?-?,1811-04-19,clean,"; d. Apr 19, 1811 S"
X00272,birth,1753-?-?,1753-07-09,clean,"b. Jul 9, 1753 N"
X00272,death,1832-?-?,1832-09-23,clean,"; d. Sep 23, 1832 B"
H00704,birth,1793-?-?,1793-04-03,clean,"b. Apr 3, 1793 E"
H00704,death,1857-?-?,1857-03-04,clean,"; d. Mar 4, 1857 M"
H00708,birth,1802-?-?,1802-09-06,clean,"b. Sep 6, 1802 S"
H00708,death,1832-?-?,1832-04-19,clean,"; d. Apr 19, 1832 a"
X00273,birth,1729-?-?,1729-11-14,clean,"b. Nov 14, 1729 G"
X00273,death,1813-?-?,1813-10-30,clean,"; d. Oct 30, 1813 G"
X00274,birth,1745-?-?,1745-10-01,clean,"b. Oct 1, 1745 G"
X00274,death,1826-?-?,1826-02-21,clean,"; d. Feb 21, 1826 G"
H00709,birth,1751-?-?,1751-08-17,clean,"b. Aug 17, 1751 G"
HD1003,birth,1777-?-?,1777-11-15,clean,"b. Nov 15, 1777;"
HD1003,death,1795-?-?,1795-09-07,clean,"; d. Sep 7, 1795 a"
HD1004,birth,1779-?-?,1779-07-11,clean,"b. Jul 11, 1779;"
HD1004,death,1860-?-?,1860-09-09,clean,"; d. Sep 9, 1860 G"
HD1005,birth,1782-?-?,1782-01-25,clean,"b. Jan 25, 1782 G"
HD1005,death,1816-?-?,1816-01-09,clean,"; d. Jan 9, 1816 G"
X00275,birth,1742-?-?,1742-10-12,clean,"b. Oct 12, 1742 D"
X00275,death,1798-?-?,1798-02-28,clean,"; d. Feb 28, 1798 M"
H00710,birth,1753-?-?,1753-05-22,clean,"b. May 22, 1753 G"
H00710,death,1823-?-?,1823-10-21,clean,"; d. Oct 21, 1823 M"
HD1007,birth,1776-?-?,1776-06-04,clean,"b. Jun 4, 1776 G"
HD1007,death,1833-?-?,1833-04-11,clean,"; d. Apr 11, 1833 M"
HD1008,birth,1778-?-?,1778-05-03,clean,"b. May 3, 1778 G"
HD1008,death,1826-?-?,1826-12-16,clean,"; d. Dec 16, 1826 M"
H00711,birth,1754-?-?,1754-12-06,clean,"b. Dec 6, 1754 G"
H00711,death,1827-?-?,1827-12-25,clean,"; d. Dec 25, 1827 G"
H00712,birth,1757-?-?,1757-10-03,clean,"b. Oct 3, 1757 G"
H00712,death,1781-?-?,1781-06-18,clean,"led Jun 18, 1781 a"
X00276,birth,1755-?-?,1755-01-15,clean,"b. Jan 15, 1755 G"
X00276,death,1834-?-?,1834-01-18,clean,"; d. Jan 18, 1834 G"
H00713,birth,1760-?-?,1760-04-23,clean,"b. Apr 23, 1760 G"
HD1010,birth,1785-?-?,1785-09-24,clean,"b. Sep 24, 1785;"
HD1010,death,1805-?-?,1805-10-16,clean,"; d. Oct 16, 1805 a"
HD1011,birth,1796-?-?,1796-09-04,clean,"b. Sep 4, 1796."
H00714,birth,1762-?-?,1762-09-08,clean,"b. Sep 8, 1762 G"
H00717,birth,1773-?-?,1773-01-15,clean,"b. Jan 15, 1773 G"
H00715,birth,1765-?-?,1765-07-17,clean,"b. Jul 17, 1765 G"
H00716,birth,1768-?-?,1768-06-08,clean,"b. Jun 8, 1768 G"
H00716,death,1825-?-?,1825-06-29,clean,"; d. Jun 29, 1825 a"
H00718,birth,1751-?-?,1751-08-06,clean,"b. Aug 6, 1751 E"
H00718,death,1841-?-?,1841-02-02,clean,"; d. Feb 2, 1841 M"
H00719,birth,1753-?-?,1753-02-27,clean,"b. Feb 27, 1753 E"
H00719,death,1836-?-?,1836-10-02,clean,"; d. Oct 2, 1836 G"
H00720,death,1756-?-?,1756-10-01,clean,"; d. Oct 1, 1756 a"
H00721,birth,1757-?-?,1757-10-09,clean,"b. Oct 9, 1757 E"
H00721,death,1782-?-?,1782-04-30,clean,"; d. Apr 30, 1782 E"
H00722,birth,1759-?-?,1759-10-26,clean,"b. Oct 26, 1759 E"
H00723,birth,1760-?-?,1760-10-26,clean,"b. Oct 26, 1760 E"
H00723,death,1822-?-?,1822-08-13,clean,"; d. Aug 13, 1822 G"
H00724,birth,1765-?-?,1765-04-29,clean,"b. Apr 29, 1765 E"
H00724,death,1820-?-?,1820-11-02,clean,"; d. Nov 2, 1820 G"
X00280,birth,1820-?-?,1820-12-20,clean,"b. Dec 20, 1820 N"
X00280,death,1858-?-?,1858-03-31,clean,"; d. Mar 31, 1858 E"
H00726,birth,1737-?-?,1737-10-07,clean,"b. Oct 7, 1737 G"
H00727,birth,1739-?-?,1739-07-24,clean,"b. Jul 24, 1739 G"
H00728,birth,1741-?-?,1741-08-12,clean,"b. Aug 12, 1741 G"
H00729,birth,1743-?-?,1743-08-13,clean,"b. Aug 13, 1743 G"
H00730,birth,1745-?-?,1745-09-03,clean,"b. Sep 3, 1745 G"
H00731,birth,1746-?-?,1746-10-02,clean,"b. Oct 2, 1746 G"
H00732,birth,1747-?-?,1747-10-05,clean,"b. Oct 5, 1747 G"
H00734,birth,1755-?-?,1755-02-16,clean,"b. Feb 16, 1755 G"
H00734,death,1755-?-?,1755-03-06,clean,"; d. Mar 6, 1755 —"
H00736,birth,1760-?-?,1760-03-08,clean,"b. Mar 8, 1760 G"
X00283,birth,1727-?-?,1727-05-30,clean,"b. May 30, 1727 G"
X00283,death,1787-?-?,1787-02-24,clean,"; d. Feb 24, 1787 G"
H00738,birth,1753-?-?,1753-01-28,clean,"b. Jan 28, 1753 G"
H00738,death,1755-?-?,1755-12-20,clean,"; d. Dec 20, 1755 a"
H00739,birth,1755-?-?,1755-01-15,clean,"b. Jan 15, 1755 G"
H00739,death,1834-?-?,1834-01-18,clean,"; d. Jan 18, 1834 G"
H00740,birth,1757-?-?,1757-01-18,clean,"b. Jan 18, 1757 G"
H00741,birth,1759-?-?,1759-03-08,clean,"b. Mar 8, 1759 G"
H00741,death,1816-?-?,1816-02-23,clean,"; d. Feb 23, 1816 a"
H00742,death,1838-?-?,1838-10-29,clean,"; d. Oct 29, 1838 a"
H00743,birth,1763-?-?,1763-12-31,clean,"b. Dec 31, 1763 G"
H00744,birth,1766-?-?,1766-07-06,clean,"b. Jul 6, 1766 G"
X00284,birth,1725-?-?,1725-03-13,clean,"b. Mar 13, 1725 R"
